Participant,Condition,Response
1,Low,193.735461892577
2,Low,201.836433242221
3,Low,191.6437138759
4,Low,215.952808021378
5,Low,203.295077718154
6,Low,191.79531615882
7,Low,204.874290524285
8,Low,207.383247051292
9,Low,205.757813516535
10,Low,196.946116128436
11,Low,215.117811684508
12,Low,203.898432364114
13,Low,193.787594194582
14,Low,177.853001128225
15,Low,211.249309181431
16,High,239.460796691817
17,High,239.805716842813
18,High,251.326034528224
19,High,249.854654341177
20,High,247.12681585461
21,High,251.027728459299
22,High,249.385635608773
23,High,240.894779800382
24,High,216.12777964964
25,High,247.437908974737
26,High,239.326455125652
27,High,238.130453919536
28,High,222.350971393209
29,High,234.262199338697
30,High,245.015298722396
