Participant,Factor_1,Factor_2,Response
1,L,L,243
2,L,L,251
3,L,L,241
4,L,L,265
5,L,L,253
6,L,L,241
7,L,L,254
8,L,L,257
9,L,H,355
10,L,H,346
11,L,H,365
12,L,H,353
13,L,H,343
14,L,H,327
15,L,H,361
16,L,H,349
17,H,L,349
18,H,L,359
19,H,L,358
20,H,L,355
21,H,L,359
22,H,L,357
23,H,L,350
24,H,L,330
25,H,H,256
26,H,H,249
27,H,H,248
28,H,H,235
29,H,H,245
30,H,H,254
31,H,H,263
32,H,H,248
1,L,H,341
2,L,H,351
3,L,H,365
4,L,H,338
5,L,H,349
6,L,H,351
7,L,H,357
8,L,H,347
9,H,L,369
10,H,L,348
11,H,L,354
12,H,L,359
13,H,L,346
14,H,L,339
15,H,L,367
16,H,L,326
17,H,H,258
18,H,H,250
19,H,H,260
20,H,H,254
21,H,H,270
22,H,H,238
23,H,H,265
24,H,H,269
25,L,L,250
26,L,L,225
27,L,L,254
28,L,L,244
29,L,L,257
30,L,L,252
31,L,L,257
32,L,L,253
1,H,L,340
2,H,L,347
3,H,L,352
4,H,L,338
5,H,L,351
6,H,L,350
7,H,L,350
8,H,L,361
9,H,H,237
10,H,H,262
11,H,H,242
12,H,H,238
13,H,H,242
14,H,H,252
15,H,H,251
16,H,H,246
17,L,L,240
18,L,L,243
19,L,L,262
20,L,L,251
21,L,L,244
22,L,L,240
23,L,L,247
24,L,L,233
25,L,H,345
26,L,H,342
27,L,H,361
28,L,H,360
29,L,H,349
30,L,H,338
31,L,H,359
32,L,H,358
1,H,H,252
2,H,H,244
3,H,H,258
4,H,H,255
5,H,H,266
6,H,H,256
7,H,H,237
8,H,H,247
9,L,L,268
10,L,L,267
11,L,L,255
12,L,L,250
13,L,L,253
14,L,L,249
15,L,L,250
16,L,L,251
17,L,H,361
18,L,H,349
19,L,H,348
20,L,H,347
21,L,H,365
22,L,H,351
23,L,H,363
24,L,H,362
25,H,L,355
26,H,L,347
27,H,L,362
28,H,L,359
29,H,L,340
30,H,L,362
31,H,L,351
32,H,L,360
